model,commit,date,verified,source,formula,datalog
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,[1 DXSTIT]q,False
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,[1 pres]q,True
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,[1 res]q,True
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,[1 sres]q,True
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,[2 DXSTIT]q,False
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,[2 pres]q,False
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,[2 res]q,False
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,[2 sres]q,False
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,"[{1, 2} DXSTIT]q",True
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,"[{1, 2} pres]q",True
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,"[{1, 2} res]q",True
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,"[{1, 2} sres]q",True
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,"but(sd1, q)",True
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,"but(ss2, q)",True
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,"but({1:sd, 2:ss}, q)",True
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,"ness(sd1, q)",True
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,"ness(ss2, q)",True
3.1,f5b458c,2026-06-15,True,reviewed 2026-07-16,"ness({1:sd, 2:ss}, q)",True
3.5,f5b458c,2026-06-15,True,Konclude baseline match verified 2026-06-15,[1 DXSTIT]q,False
3.5,f5b458c,2026-06-15,True,Konclude baseline match verified 2026-06-15,[1 pres]q,True
3.5,f5b458c,2026-06-15,True,Konclude baseline match verified 2026-06-15,[1 res]q,True
3.5,f5b458c,2026-06-15,True,Konclude baseline match verified 2026-06-15,[1 sres]q,True
3.5,f5b458c,2026-06-15,True,Konclude baseline match verified 2026-06-15,[2 DXSTIT]q,False
3.5,f5b458c,2026-06-15,True,Konclude baseline match verified 2026-06-15,[2 pres]q,False
3.5,f5b458c,2026-06-15,True,Konclude baseline match verified 2026-06-15,[2 res]q,False
3.5,f5b458c,2026-06-15,True,Konclude baseline match verified 2026-06-15,[2 sres]q,False
3.5,f5b458c,2026-06-15,True,Konclude baseline match verified 2026-06-15,[3 DXSTIT]q,False
3.5,f5b458c,2026-06-15,True,Konclude baseline match verified 2026-06-15,[3 pres]q,True
3.5,f5b458c,2026-06-15,True,Konclude baseline match verified 2026-06-15,[3 res]q,False
3.5,f5b458c,2026-06-15,True,Konclude baseline match verified 2026-06-15,[3 sres]q,False
3.5,f5b458c,2026-06-15,True,Konclude baseline match verified 2026-06-15,[4 DXSTIT]q,False
3.5,f5b458c,2026-06-15,True,Konclude baseline match verified 2026-06-15,[4 pres]q,False
